,Has Device Type,Has Device OS,Has Device OS Version,Includes Catalan,Includes Catalan Predictive Keyboard,Has Vendor,Has Name
Aparell:Sony Xperia SP — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia SP
Aparell:Sony Xperia T — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia T
Aparell:Sony Xperia T2 Ultra — Sony,Mòbil,Android,4.3,verdader,Sí,Sony,Sony Xperia T2 Ultra
Aparell:Sony Xperia T3 — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia T3
Aparell:Sony Xperia Tablet S — Sony,Tauleta,Android,,verdader,Sí,Sony,Sony Xperia Tablet S
Aparell:Sony Xperia Tablet Z — Sony,Tauleta,Android,,verdader,Sí,Sony,Sony Xperia Tablet Z
Aparell:Sony Xperia U — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia U
Aparell:Sony Xperia V — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia V
Aparell:Sony Xperia X10 — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia X10
Aparell:Sony Xperia Z - Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia Z
Aparell:Sony Xperia Z Ultra - Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia Z Ultra
Aparell:Sony Xperia Z Ultra — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia Z Ultra
Aparell:Sony Xperia Z — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia Z
Aparell:Sony Xperia Z1 - Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia Z1
Aparell:Sony Xperia Z1 Compact — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia Z1 Compact
Aparell:Sony Xperia Z2 Tablet — Sony,Tauleta,Android,,verdader,Sí,Sony,Sony Xperia Z2 Tablet
Aparell:Sony Xperia Z2 — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia Z2
Aparell:Sony Xperia Z3 Compact — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia Z3 Compact
Aparell:Sony Xperia Z3 Tablet Compact — Sony,Tauleta,Android,,verdader,Sí,Sony,Sony Xperia Z3 Tablet Compact
Aparell:Sony Xperia Z3 — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia Z3
Aparell:Sony Xperia arc S — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia arc S
Aparell:Sony Xperia arc — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia arc
Aparell:Sony Xperia go — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia go
Aparell:Sony Xperia mini — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia mini
Aparell:Sony Xperia miro — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia miro
Aparell:Sony Xperia neo V — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia neo V
Aparell:Sony Xperia ray — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia ray
Aparell:Sony Xperia sola — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia sola
Aparell:Sony Xperia tipo dual — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia tipo dual
Aparell:Sony Xperia tipo — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia tipo
Aparell:TERRA 7oL — GOCLEVER,Tauleta,Android,4.3.2,verdader,No s'aplica,GOCLEVER,TERRA 7oL
Aparell:THL T6S — THL,Mòbil,Android,4.4,verdader,No,THL,THL T6S
Aparell:THL W100 - THL,Mòbil,Android,,verdader,No,THL,THL W100
Aparell:THL W8 - THL,Mòbil,Android,,verdader,No,THL,THL W8
Aparell:Tagus Lux — Casa del Libro,Lector de llibres electrònics,Altre,,verdader,No s'aplica,Casa del Libro,Tagus Lux
Aparell:Tagus Magno — Casa del Libro,Lector de llibres electrònics,Altre,,verdader,No s'aplica,Casa del Libro,Tagus Magno
Aparell:Tagus Táctil — Casa del Libro,Lector de llibres electrònics,Altre,,verdader,No s'aplica,Casa del Libro,Tagus Táctil
Aparell:Titan — MyWigo,Mòbil,Android,4.2.2,verdader,No,MyWigo,MyWigo Titan
Aparell:Turia 2 — MyWigo,Mòbil,Android,4.4,verdader,No,MyWigo,MyWigo Turia 2
Aparell:Uno Pro — MyWigo,Mòbil,Android,5.1,verdader,Desconegut,MyWigo,Uno Pro
Aparell:Uno — MyWigo,Mòbil,Android,5.1,verdader,Desconegut,MyWigo,Uno
Aparell:Unusual Sapiens Led — Unusual,Lector de llibres electrònics,Altre,,fals,No,Unusual,Unusual Sapiens Led
Aparell:Unusual Sapiens Lux — Unusual,Lector de llibres electrònics,Altre,,fals,No,Unusual,Unusual Sapiens Lux
Aparell:Unusual U10X — Unusual,Tauleta,Android,4.2.2,verdader,No,Unusual,Unusual U10X
Aparell:Unusual U7X — Unusual,Tauleta,Android,4.1.1,verdader,No,Unusual,Unusual U7X
Aparell:V3 — OKTEL,Mòbil,Android,4.2.2,fals,No,OKTEL,V3
Aparell:V4 — OKTEL,Mòbil,Android,4.2.2,fals,No,OKTEL,V4
Aparell:Wiko Fever — Wiko,Mòbil,Android,5.1.1,fals,No,Wiko,Wiko Fever
Aparell:Wiko Lubi3 — Wiko,Mòbil,Altre,,fals,Desconegut,Wiko,Wiko Lubi3
Aparell:Wiko Ridge 4G — Wiko,Mòbil,Android,5.0.2,fals,No,Wiko,Wiko Ridge 4G
Aparell:Wings 3 — MyWigo,Mòbil,Android,4.4.2,verdader,No,MyWigo,MyWigo Wings 3
Aparell:Xiaomi Redmi 2 — Xiaomi,Mòbil,Android,4.4 (MIUI 6),fals,Desconegut,Xiaomi,Xiaomi Redmi 2
Aparell:Xiaomi Redmi Note 2 — Xiami,Mòbil,Android,5.0.2 (MIUI 7 OS),fals,No,Xiami,Xiaomi Redmi Note 2
Aparell:ZTE Open - ZTE,Mòbil,Firefox OS,1.1.0,verdader,Sí,ZTE,ZTE Open
Aparell:ZTE Open C - ZTE,Mòbil,Firefox OS,1.3.0,verdader,Sí,ZTE,ZTE Open C
Aparell:ZTE Skate Pro - ZTE,Mòbil,Android,4.0,fals,No,ZTE,ZTE Skate Pro
